ITEM: TIMESTEP
0.1
ITEM: NUMBER OF ATOMS
5
ITEM: BOX BOUNDS pp pp pp
0.0 100
0.0 100
0.0 100
ITEM: ATOMS id x y z
1 56.2674 89.1634 72.646
2 38.0327 3.0225 89.4481
3 40.9923 88.1402 82.3592
4 93.1302 57.4643 83.3525
0 8.84399 32.6159 79.1377
1 53.2222 88.8543 73.378
2 42.0082 0.190459 87.7179
3 45.0842 90.1449 83.5557
4 94.0498 55.963 82.6422
0 8.85187 36.8963 80.7991
1 50.177 88.5452 74.1101
2 45.9837 2.64158 85.9876
3 49.1761 92.1495 84.7521
4 94.9695 54.4616 81.932
0 8.85975 41.1767 82.4605
1 47.1318 88.2362 74.8422
2 49.9592 5.47362 84.2574
3 53.268 94.1541 85.9486
4 95.8892 52.9603 81.2217
0 8.86763 45.4571 84.1218
1 44.0867 87.9271 75.5742
2 53.9347 8.30566 82.5271
3 57.36 96.1587 87.1451
4 96.8089 51.459 80.5115
0 8.87551 49.7375 85.7832
1 41.0415 87.618 76.3063
2 57.9102 11.1377 80.7969
3 61.4519 98.1633 88.3415
4 97.7285 49.9576 79.8012
0 8.88339 54.018 87.4446
1 37.9963 87.3089 77.0384
2 61.8858 13.9697 79.0667
3 65.5438 99.8321 89.538
4 98.6482 48.4563 79.091
0 8.89127 58.2984 89.106
1 34.9512 86.9999 77.7704
2 65.8613 16.8018 77.3364
3 69.6357 97.8274 90.7344
4 99.5679 46.9549 78.3807
0 8.89915 62.5788 90.7673
1 31.906 86.6908 78.5025
2 69.8368 19.6338 75.6062
3 73.7276 95.8228 91.9309
4 99.5124 45.4536 77.6704
0 8.90703 66.8592 92.4287
1 28.8608 86.3817 79.2345
2 73.8123 22.4659 73.8759
3 77.8196 93.8182 93.1274
4 98.5928 43.9522 76.9602
0 8.91491 71.1396 94.0901
1 25.8157 86.0726 79.9666
2 77.7878 25.2979 72.1457
3 81.9115 91.8136 94.3238
4 97.6731 42.4509 76.2499
0 8.9228 75.42 95.7514
1 22.7705 85.7635 80.6987
2 81.7633 28.1299 70.4154
3 86.0034 89.809 95.5203
4 96.7534 40.9496 75.5397
0 8.93068 79.7005 97.4128
1 19.7253 85.4545 81.4307
2 85.7388 30.962 68.6852
3 90.0953 87.8043 96.7167
4 95.8337 39.4482 74.8294
0 8.93856 83.9809 99.0742
1 16.6802 85.1454 82.1628
2 89.7143 33.794 66.955
3 94.1872 85.7997 97.9132
4 94.9141 37.9469 74.1192
0 8.94644 88.2613 99.2644
1 13.635 84.8363 82.8949
2 93.6898 36.6261 65.2247
3 98.2792 83.7951 99.1097
4 93.9944 36.4455 73.4089
0 8.95432 92.5417 97.6031
1 10.5898 84.5272 83.6269
2 97.6654 39.4581 63.4945
3 97.6289 81.7905 99.6939
4 93.0747 34.9442 72.6986
0 8.9622 96.8221 95.9417
1 7.54467 84.2182 84.359
2 98.3591 42.2901 61.7642
3 93.537 79.7859 98.4974
4 92.155 33.4428 71.9884
0 8.97008 98.8975 94.2803
1 4.49951 83.9091 85.091
2 94.3836 45.1222 60.034
3 89.4451 77.7813 97.301
4 91.2354 31.9415 71.2781
0 8.97796 94.617 92.619
1 1.45434 83.6 85.8231
2 90.4081 47.9542 58.3037
3 85.3532 75.7766 96.1045
4 90.3157 30.4402 70.5679
0 8.98584 90.3366 90.9576
1 1.59083 83.2909 86.5552
2 86.4326 50.7862 56.5735
3 81.2612 73.772 94.908
4 89.396 28.9388 69.8576
0 8.99372 86.0562 89.2962
1 4.636 82.9819 87.2872
2 82.4571 53.6183 54.8433
3 77.1693 71.7674 93.7116
4 88.4763 27.4375 69.1474
0 9.00161 81.7758 87.6348
1 7.68116 82.6728 88.0193
2 78.4816 56.4503 53.113
3 73.0774 69.7628 92.5151
4 87.5567 25.9361 68.4371
0 9.00949 77.4954 85.9735
1 10.7263 82.3637 88.7514
2 74.5061 59.2824 51.3828
3 68.9855 67.7582 91.3187
4 86.637 24.4348 67.7268
0 9.01737 73.215 84.3121
1 13.7715 82.0546 89.4834
2 70.5305 62.1144 49.6525
3 64.8935 65.7536 90.1222
4 85.7173 22.9334 67.0166
0 9.02525 68.9345 82.6507
1 16.8167 81.7456 90.2155
2 66.555 64.9464 47.9223
3 60.8016 63.7489 88.9257
4 84.7976 21.4321 66.3063
0 9.03313 64.6541 80.9893
1 19.8618 81.4365 90.9475
2 62.5795 67.7785 46.192
3 56.7097 61.7443 87.7293
4 83.878 19.9308 65.5961
0 9.04101 60.3737 79.328
1 22.907 81.1274 91.6796
2 58.604 70.6105 44.4618
3 52.6178 59.7397 86.5328
4 82.9583 18.4294 64.8858
0 9.04889 56.0933 77.6666
1 25.9522 80.8183 92.4117
2 54.6285 73.4426 42.7316
3 48.5259 57.7351 85.3364
4 82.0386 16.9281 64.1756
0 9.05677 51.8129 76.0052
1 28.9973 80.5093 93.1437
2 50.653 76.2746 41.0013
3 44.4339 55.7305 84.1399
4 81.119 15.4267 63.4653
0 9.06465 47.5325 74.3439
1 32.0425 80.2002 93.8758
2 46.6775 79.1066 39.2711
3 40.342 53.7259 82.9434
4 80.1993 13.9254 62.755
0 9.07254 43.2521 72.6825
1 35.0877 79.8911 94.6079
2 42.702 81.9387 37.5408
3 36.2501 51.7212 81.747
4 79.2796 12.424 62.0448
0 9.08042 38.9716 71.0211
1 38.1328 79.582 95.3399
2 38.7264 84.7707 35.8106
3 32.1582 49.7166 80.5505
4 78.3599 10.9227 61.3345
0 9.0883 34.6912 69.3597
1 41.178 79.2729 96.072
2 34.7509 87.6028 34.0803
3 28.0663 47.712 79.3541
4 77.4403 9.42135 60.6243
0 9.09618 30.4108 67.6984
1 44.2232 78.9639 96.804
2 30.7754 90.4348 32.3501
3 23.9743 45.7074 78.1576
4 76.5206 7.92001 59.914
0 9.10406 26.1304 66.037
1 47.2683 78.6548 97.5361
2 26.7999 93.2668 30.6199
3 19.8824 43.7028 76.9611
4 75.6009 6.41867 59.2038
0 9.11194 21.85 64.3756
1 50.3135 78.3457 98.2682
2 22.8244 96.0989 28.8896
3 15.7905 41.6981 75.7647
4 74.6812 4.91733 58.4935
0 9.11982 17.5696 62.7143
1 53.3587 78.0366 99.0002
2 18.8489 98.9309 27.1594
3 11.6986 39.6935 74.5682
4 73.7616 3.41598 57.7832
0 9.1277 13.2891 61.0529
1 56.4038 77.7276 99.7323
2 14.8734 98.237 25.4291
3 7.60666 37.6889 73.3718
4 72.8419 1.91464 57.073
0 9.13558 9.00872 59.3915
1 59.449 77.4185 99.5356
2 10.8979 95.405 23.6989
3 3.51474 35.6843 72.1753
4 71.9222 0.413297 56.3627
0 9.14346 4.7283 57.7301
1 62.4942 77.1094 98.8036
2 6.92235 92.573 21.9686
3 0.577181 33.6797 70.9788
4 71.0025 1.08805 55.6525
0 9.15135 0.447885 56.0688
1 65.5393 76.8003 98.0715
2 2.94683 89.7409 20.2384
3 4.6691 31.6751 69.7824
4 70.0829 2.58939 54.9422
0 9.15923 3.83253 54.4074
1 68.5845 76.4913 97.3394
2 1.02868 86.9089 18.5082
3 8.76102 29.6704 68.5859
4 69.1632 4.09073 54.232
0 9.16711 8.11295 52.746
1 71.6297 76.1822 96.6074
2 5.00419 84.0768 16.7779
3 12.8529 27.6658 67.3895
4 68.2435 5.59207 53.5217
0 9.17499 12.3934 51.0846
1 74.6748 75.8731 95.8753
2 8.9797 81.2448 15.0477
3 16.9449 25.6612 66.193
4 67.3238 7.09342 52.8114
0 9.18287 16.6738 49.4233
1 77.72 75.564 95.1433
2 12.9552 78.4128 13.3174
3 21.0368 23.6566 64.9965
4 66.4042 8.59476 52.1012
0 9.19075 20.9542 47.7619
1 80.7652 75.255 94.4112
2 16.9307 75.5807 11.5872
3 25.1287 21.652 63.8001
4 65.4845 10.0961 51.3909
0 9.19863 25.2346 46.1005
1 83.8103 74.9459 93.6791
2 20.9062 72.7487 9.85695
3 29.2206 19.6474 62.6036
4 64.5648 11.5974 50.6807
0 9.20651 29.515 44.4392
1 86.8555 74.6368 92.9471
2 24.8818 69.9166 8.12671
3 33.3125 17.6427 61.4072
4 63.6451 13.0988 49.9704
0 9.21439 33.7954 42.7778
1 89.9007 74.3277 92.215
2 28.8573 67.0846 6.39646
3 37.4045 15.6381 60.2107
4 62.7255 14.6001 49.2602
0 9.22227 38.0759 41.1164
1 92.9458 74.0187 91.4829
2 32.8328 64.2526 4.66622
3 41.4964 13.6335 59.0143
4 61.8058 16.1015 48.5499
0 9.23016 42.3563 39.455
1 95.991 73.7096 90.7509
2 36.8083 61.4205 2.93598
3 45.5883 11.6289 57.8178
4 60.8861 17.6028 47.8396
0 9.23804 46.6367 37.7937
1 99.0362 73.4005 90.0188
2 40.7838 58.5885 1.20574
3 49.6802 9.62427 56.6213
4 59.9664 19.1042 47.1294
0 9.24592 50.9171 36.1323
1 97.9186 73.0914 89.2868
2 44.7593 55.7565 0.524506
3 53.7721 7.61965 55.4249
4 59.0468 20.6055 46.4191
0 9.2538 55.1975 34.4709
1 94.8735 72.7823 88.5547
2 48.7348 52.9244 2.25475
3 57.8641 5.61503 54.2284
4 58.1271 22.1068 45.7089
0 9.26168 59.4779 32.8096
1 91.8283 72.4733 87.8226
2 52.7103 50.0924 3.98499
3 61.956 3.61041 53.032
4 57.2074 23.6082 44.9986
0 9.26956 63.7584 31.1482
1 88.7831 72.1642 87.0906
2 56.6858 47.2603 5.71523
3 66.0479 1.6058 51.8355
4 56.2877 25.1095 44.2884
0 9.27744 68.0388 29.4868
1 85.738 71.8551 86.3585
2 60.6614 44.4283 7.44548
3 70.1398 0.398821 50.639
4 55.3681 26.6109 43.5781
0 9.28532 72.3192 27.8254
1 82.6928 71.546 85.6264
2 64.6369 41.5963 9.17572
3 74.2318 2.40344 49.4426
4 54.4484 28.1122 42.8678
0 9.2932 76.5996 26.1641
1 79.6476 71.237 84.8944
2 68.6124 38.7642 10.906
3 78.3237 4.40806 48.2461
4 53.5287 29.6136 42.1576
0 9.30109 80.88 24.5027
1 76.6025 70.9279 84.1623
2 72.5879 35.9322 12.6362
3 82.4156 6.41267 47.0497
4 52.609 31.1149 41.4473
0 9.30897 85.1604 22.8413
1 73.5573 70.6188 83.4303
2 76.5634 33.1001 14.3664
3 86.5075 8.41729 45.8532
4 51.6894 32.6162 40.7371
0 9.31685 89.4409 21.1799
1 70.5121 70.3097 82.6982
2 80.5389 30.2681 16.0967
3 90.5994 10.4219 44.6567
4 50.7697 34.1176 40.0268
0 9.32473 93.7213 19.5186
1 67.467 70.0007 81.9661
2 84.5144 27.4361 17.8269
3 94.6914 12.4265 43.4603
4 49.85 35.6189 39.3165
0 9.33261 98.0017 17.8572
1 64.4218 69.6916 81.2341
2 88.4899 24.604 19.5572
3 98.7833 14.4311 42.2638
4 48.9303 37.1203 38.6063
